"EffortS1","FrustrationS1","HoursS1","TimeAnticipatedS1","EffortS2","FrustrationS2","HoursS2","TimeAnticipatedS2"
5,2,40,5,4,2,6,3
NA,NA,NA,NA,7,5,30,5
5,3,30,4,6,3,40,3
4,5,12,2,5,4,5,3
2,1,2,3,5,4,7,3
6,1,20,3,6,4,80,4
3,1,2,3,4,1,7,3
4,5,4,3,5,3,8,3
3,2,10,3,4,3,10,3
4,1,7,3,4,7,6,5
6,5,30,2,5,7,5,3
5,6,12,4,6,4,36,4
6,5,30,4,5,4,20,2
5,3,5,3,5,3,5,4
3,3,5,4,5,2,5,4
6,4,12,3,3,4,16,3
6,5,12,3,4,5,8,3
4,2,16,4,3,2,4,2
6,4,5,3,6,4,8,4
6,4,7,3,5,4,12,4
6,5,28,4,5,5,6,4
3,1,4,3,3,1,4,3
6,5,8,3,6,5,10,3
5,6,8,3,4,5,8,3
5,5,6,4,6,6,8,5
5,5,5,5,4,4,6,4
4,4,8,4,6,3,10,3
4,2,22,4,3,1,1,3
6,4,35,4,3,2,11,3
6,6,5,4,5,1,3,3
3,4,6,3,1,1,1,2
3,2,6,2,3,1,3,3
5,2,3,3,5,2,6,3
5,1,8,3,6,5,30,4
5,1,2,3,4,2,2,3
3,3,6,2,2,2,1,2
4,1,5,3,3,2,5,3
4,4,4,3,3,4,4,4
3,2,2,3,3,2,5,2
4,4,7,3,5,5,13,4
5,4,32.5,4,6,7,42.5,4
5,2,16,3,5,2,10,3
NA,2,3,3,3,2,1,2
5,3,8,4,5,5,8,4
5,3,8,3,5,6,15,3
3,4,6,3,3,1,5,3
6,5,72,4,6,3,72,4
5,4,20,4,5,2,20,4
5,4,10,3,6,5,40,4
5,4,25,4,3,2,5.5,3
4,1,6,2,5,5,35,4
1,5,1,2,3,2,2,3
5,2,7,4,6,2,6,4
3,2,3,2,2,2,10,3
4,1,12,3,4,4,9,3
5,6,10,4,5,2,10,4
3,2,20,3,4,2,12,3
5,1,6,3,5,1,3,3
2,2,2,3,5,3,4,4
5,2,40,3,5,4,10,3
5,2.5,15,3.5,4,3,8,3
3,3,7,3,4,2,8,3
4,1,3,4,4,1,4,4
5,3,8,3,5,3,40,4
6,5,12,4,6,3,32,4
6,2,12,4,2,1,8,2
2,1,2,3,2,2,1,3
5,1,2.5,3,5,2,3,3
5,2,50,4,5,4,72,3
5,5,10,3,6,3,20,3
3,2,7,2,2,1,3,2
6,4,19,5,2,1,2,3
6,3,8,3,5,3,12,3
5,4,3,3,2,2,1,3
3,2,1.5,3,4,2,1.5,3
3,1,6,3,3,2,10,3
5,4,6,3,6,4,10,3
3,2,5,3,5,3,5,2
3,2,6,3,3,3,10,2
3,2,8,3,4,5,7,4
2,1,3,3,2,1,3,3
5,4,8,4,5,1,16,3
3,3,4,3,2,3,4,4
6,1,13,4,3,1,3,1
3,4,6,2,5,6,9,4
4,3,15,4,4,3,6,2
2,2,4,3,2,1,5,2
5,6,15,4,3,2,10,3
5,2,30,3,5,2,20,4
5,2,5,3,2,2,3,3
4,4,12,5,2,2,5,3
4,2,4.5,2,3,3,4,3
2,2,15,2,6,4,20,4
5,1,25,4,3,2,20,2
2,4,2,1,3,4,2,2
3,4,9,3,2,1,2,3
5,1,24,3,3,7,3,3
4,4,25,4,6,5,20,5
5,3,20,4,5,5,30,4
4,4,4.5,3,4,4,12,3
4,2,15,4,2,1,1.5,1
6,2,15,4,7,4,140,5
3,2,2,3,4,4,4,3
5,7,70,5,5,6,25,4
5,4,3,4,4,3,5,3
5,3,24,4,5,2,32,4
3,3,3,3,5,4,16,3
6,4,48,2,7,3,30,1
7,4,30,3,7,2,50,5
6,4,60,4,7,5,60,4
6,3,18,3,5,2,15,3
5,2,8,3,6,1,40,3
6,3,80,4,6,3,80,4
2,1,8,1,3,1,10,3
NA,NA,NA,NA,1,1,0.5,1
4,3,5,2,4,2,20,3
3,3,3,3,2,2,4,3
5,3,15,3,4,2,3,3
6,5,4,4,3,1,6,3
4,2,22,4,1,1,2,3
