"Team","Time_pre_survey","Consent","NumberOfPeople","FieldRaw","Positions","TheoreticalKnowledge","MethodsKnowledge","EstimationRQ1","EstimationRQ2","Field","condition","Time_mid_survey","ESunit","Time_post_survey","AnalyticalApproach","StatsDetail","IV1","DV1","Covariates1","ESunit1","ES1","Inference1","OtherSteps1","Evidence1","Relevance1","AnswerRQ1","IV2","DV2","Covariates2","ESunit2","ES2","Inference2","OtherSteps2","Evidence2","Relevance2","AnswerRQ2","SuitableApproach","SuitableData1","SuitableData2","Deviate","DeviateHypotheses","DeviateVariables","DeviateDV","DeviateExclusions","DeviateModel","DeviateDirection","DeviateWhy","Comments","Coauthors","CoauthorsMaybe","DeviateTest","DeviateIV","N1","N2","Standardized_ES_1","lower_CI_1","upper_CI_1","MARP_ES_type_1","Standardized_ES_2","lower_CI_2","upper_CI_2","MARP_ES_type_2","Additional_ES_RQ1","Additional_ES_RQ2","Explain_ES","Domain","work","effort","frustration","deviation_count","time_anticipated"
3,"2020-11-11 15:20:35","Yes, I consent",5,"Legal Psychology","Doctoral student, Assistant professor, Associate professor",2,4,2,5,"Legal Psychology","blinding","2020-12-18 13:18:40"," standardized regression coefficient (beta)","2021-01-15 15:27:33","RQ1: correlation; RQ2: linear regression","Common stats only: RQ1: correlation; RQ2: linear regression","For religiosity, we took the average of the 9 religiosity items (rel_1 to rel_9).
","For well-being, we took the average of the 18 items tapping into well-being (wb_gen_1 to wb_soc_3).","None","correlation coefficient r",".13 (95%CI: .11; .15]","p<.001","In our sensitivity analyses, we found the effect of RQ1 to be replicated with a non-parametric test (spearman rho = .11 [.09; .13], p < 0.001) and when dropping an item with substantial missing data from the well-being variable (i.e., when dropping wb_soc_3; r = .12 [.10; .14], p < 0.001). 

We further explored the robustness of the findings by repeating the analyses in each of the participating countries separately, and in each of the sampling methods separately. For RQ1,  we found the correlation between religiosity and well-being to vary from r = -.00 [-.09; .09], p = .954 in the Netherlands to r = .39 [.31; .46], p < .001 in Australia (for countries), and from r = .07 [.01; .13], p = .024 in Students to r = .31 [.18; .43], p < .001 in the general public (for sampling methods). This points to the possibility that the relation between well-being and religiosity may be stronger in some countries (e.g., Australia) or samples (e.g., general public) than in other countries (e.g., Netherlands) or samples (e.g., Students). ","Yes, there is good evidence for a positive relation","No",4,"For religiosity, we took the average of the 9 religiosity items (rel_1 to rel_9).
For perceived cultural norms, we took the average of the 2 items measuring perceived cultural norms (cnorm_1 and cnorm_2).
","For well-being, we took the average of the 18 items tapping into well-being (wb_gen_1 to wb_soc_3).","None","beta",".05, 95%CI [-.09; .19]","0.08","In our sensitivity analyses for RQ2, there was a significant, yet negligible interaction when using a non-parametric test (spearman rho = .10 [0.08; 0.12], p < 0.001). In the next steps, additional parametric sensitivity analyses were conducted: When dropping an item with substantial missing data from the well-being variable (i.e., when dropping wb_soc_3), results from the main moderation analysis were replicated, t(10179) = 1.29, p  = .196, beta = .03 [-.11; .18]. 

We further explored the robustness of the findings, by conducting the analysis in each of the participating countries separately, and in each of the sampling methods separately. We found the beta for the interaction term between perceived cultural norms and religiosity to vary from t(430) = -1.56, p  = .120, beta = -.22 [-.99; .54] for Ireland and t(420) = -1.62, p  = .106, beta = -.22 [-1.90; 1.46] for Japan to t(390) = 2.94, p  = .004, beta = .65 [-.30; 1.60] for India (for countries), and from t(3571) = -0.06, p  = .950, beta = -.00 [-.24; .24] in the mixed sample to t(201) = 1.69, p  = .093, beta = .36 [-.78; 1.50] in the general public (for sampling methods). This points to the possibility that the moderating effect of religiosity and cultural norms on well-being may differ between countries and samples. 
","No, the evidence is ambiguous","No",4,6,6,6,0,0,0,0,0,0,0,"","Thank you, nice project, we are curious to see the results - bye!","Yes","",0,0,10183,10183,0.13,0.111,0.149,"beta",0.016,-0.002,0.035,"beta","","","","Psychology (Other)",46,9,4,0,8
4,"2020-12-03 20:12:30","Yes, I consent",1,"cognitive psychology","Associate professor",3,5,5,7,"cognitive psychology","preregistration",NA,NA,"2021-04-20 19:24:12","GLM","","•	Religiosity was operationalized as the composite score- mean of religiosity questions 1-9 (re_1-rel_9)- the variable is coded as rel_overall","•	Well-being was operationalized as a score in the following well-being scores as indicated in the data file
	Overall well-being
	Physical well-being
	Psychological well-being
	Social well-being
","Because SES, age, and education, were significant predictors of well-being both were included in the analyses as covariates.","beta","The effect of religiosity was significantly positive (beta = 0.08, 95% CI [0.06, 0.10], t(10496) = 8.57, p < .001; Std. beta = 0.08, 95% CI [0.06, 0.10])","p < .001","Prior to testing the moderating models using regression analyses, all scores of variables of interest were standardized (M = 0, SD = 1).","Yes, there is good evidence for a positive relation","Yes",6,"I also have RQ1 for different dependent variables","I also have RQ1 for different dependent variables","see above","see above","see above","see above","","","",NA,6,7,NA,0,0,0,0,0,0,0,"","no- thank you for this fun opportunity!","Yes","",0,0,10535,10535,0.084,0.065,0.103,"beta",NA,NA,NA,"","physical: -0.011 [-0.031, 0.009]
psychological: 0.145 [0.125, 0.164]
social: 0.087 [0.067, 0.108]","physical: 0.009 [-0.008, 0.027]
psychological: 0.046 [0.029, 0.062]
social: 0.040 [0.023, 0.058]","","Cognition",NA,NA,NA,0,NA
5,"2020-11-18 23:10:07","Yes, I consent",6,"Evolutionary Psychology, Cultural Evolution","Doctoral student, Post-doc, Full professor",4,4,6,7,"Evolutionary Psychology, Cultural Evolution","blinding","2021-01-04 10:18:34","standardised regression coefficients + CIs","2021-03-01 03:23:48","Bayesian multilevel cumulative link models","Bayesian multilevel cumulative link models correctly treat the outcome variable as ordinal, and allow clustering with random intercepts and slopes. Our models also allowed countries to covary according to their linguistic proximity to control for Galton's problem.","First principal component from a principal components analysis of all nine religiosity items in the dataset.","Ordinal wellbeing score (1-5)","Demographic covariates included age, gender, and country-level scaled GDP. We also included random intercepts grouped by individuals and random intercepts and slopes grouped by wellbeing subscale and item, country, and religious denomination.","Standardised regression coefficient (all IVs are standardised)","0.32 [0.12 0.53]","N/A","We also controlled for linguistic proximity between countries, and found that the effect size was largely unchanged (0.34 [0.12 0.57).","Yes, there is good evidence for a positive relation","Yes",7,"Average of two cultural norms items ","Ordinal wellbeing score (1-5)","Demographic covariates included age, gender, and country-level scaled GDP. We also included random intercepts grouped by individuals and random intercepts and slopes grouped by wellbeing subscale and item, country, and religious denomination.","Unstandardised regression coefficient for interaction effect (cultural norms variable is not standardised)","0.20 [-0.07 0.47]","N/A","We also controlled for linguistic proximity between countries, and found that the interaction fixed effect was largely unchanged (0.21 [-0.10 0.50]).","No, the evidence is ambiguous","No",3,6,7,4,0,0,0,0,0,0,0,"","We would like to note that, despite reporting here that the 95% CIs crossed zero for our interaction fixed effect testing RQ2, there is substantial variation in this effect across clusters. Indeed, we found the expected positive interaction effect for some wellbeing items and in some countries. We hope this nuance ends up in the paper too! :)

Otherwise, this was a very enjoyable project! Thank you for including us, and good luck with the writeup!","Yes","",0,0,183510,183510,0.307,0.115,0.509,"beta",0.05,-0.018,0.119,"beta","","","","Religion and Culture",70,11,6,0,7
6,"2020-11-19 02:53:01","Yes, I consent",1,"evolutionary psychology, cultural evolution, religion","Full professor",5,5,5,3,"evolutionary psychology, cultural evolution, religion","blinding","2021-01-28 04:45:21","require raw frequency data for church attendance please ","2021-04-21 08:05:17","Bayesian Multi-level Ordinal Regression using with and between country centering","See details in my write-up to clarify rational of the approach","We have yet to consider a mechanism by which religion might affect well-being, which will tell us specifically which aspects of well-being and which aspects of religion to focus on. Just as it might be tempting to throw all variables into a regression equation, and disastrous to do so, it might be tempting to leap into data reduction combining all variables without pausing to think what we want to know.

There are many theories of how religion affects well-being we might consider (cite Highland et al, in press). We will focus on two non-trivial theories -- one related to religious behavior and another related to religious belief.  

Details here: 
https://github.com/go-bayes/many_analysts/blob/main/analysis.Rmd
","Used a causal graph (DAG) to select variables, details here:
https://github.com/go-bayes/many_analysts/blob/main/analysis.Rmd

Ordinal values were fitted using as monotonic indicators","https://github.com/go-bayes/many_analysts/blob/main/analysis.Rmd","The outcomes were standardised (because we did not have the raw data); The ordinal indicators should not be standardised because their effects are monotonic. When sampling ","I did not find reliable individual effects for religious belief or for religious service frequency at the individual level. However I observed between country variability. ","see report: https://www.dropbox.com/s/o4bsayiitp9nsxp/analysis.html?dl=0","https://www.dropbox.com/s/o4bsayiitp9nsxp/analysis.html?dl=0","No, there is good evidence against a positive relation","No",1,"between_country indicators for outcome variables. Multi-level models. Note there was substantial missingness for denomination. I am aware that one team (5) missed this, leading to a positive result. ","between_country indicators for the outcome variables. Multi-level models","Same as in the other models. All models were estimated adjusting for within and between group differences.","Same.","Country-level differences were evident.","https://www.dropbox.com/s/o4bsayiitp9nsxp/analysis.html?dl=0","https://www.dropbox.com/s/o4bsayiitp9nsxp/analysis.html?dl=0","","",NA,6,3,3,0,0,0,0,0,0,0,"","I found this fun. Thank you. I deviated from question 2. I was more interested in country level differences in psychological well-being, as estimated using multi-level models.  I have no theory for why perceived normativity of religion might affect health, however, I expect country-level differences in the effects of religion on health, hence the focus in my study.  My doubts about the inference turn on measurement error, and not the analysis itself, which I am confident is OK.  Though everything about the analysis is conditional on my causal assumptions as represented in my DAGs","Yes","",0,0,10508,10508,NA,NA,NA,"",NA,NA,NA,"","","","","Religion and Culture",17,9,9,0,5
7,"2020-11-19 09:27:59","Yes, I consent",2,"Behavioral Economics; Moral Psychology","Doctoral student, Associate professor",5,5,7,6,"Behavioral Economics; Moral Psychology","preregistration","2020-12-03 15:15:34","standardized regression coefficient + confidence interval","2020-12-09 16:36:12","Linear Mixed Effects Models","We used Linear Mixed Effects Models which allow for linear models with both fixed effects and random effects. In these models we used our independent and dependent variables as one would normally do in OLS regressions (as fixed effects), but furthermore added country as a random intercept, in order to be able to identify country-level effects via Intraclass Correlation Coefficients of our models. In order to make our model output easier to compare and relate to other models, we calculated standardized coefficients of all models and further added a series of model fit indices to be able to interpret how well our models fitted the data.  ","We used the variables frequency of service attendance (rel_1) and frequency of prayer (rel_2) and importance of religious lifestyle for average person in country (cnorm_1) as independent variables in all our models. We furthermore fitted an interaction between the two variables rel_1 and rel_2 with the variable cnorm_1.","We fitted 3 models. In model 1 we used the mean score of physical well-being (wb_phys_mean) as our dependent variable. In model 2 we used psychological well-being (wb_psych_mean) as our dependent variable. In model 3 we used social well-being (wb_soc_mean) as dependent variable.","We used age, gender and ses as covariate in our models. Furthermore we used the country variable as random intercept in all of our models. ","Standardized regression coefficient","Physical well-being; rel_1: 0.02 [-0.07, 0.12], rel_2: -0.01 [-0.04, 0.02], Psychological well-being: rel_1: 0.07 [0.05, 0.10], rel_2: 0.07 [0.05, 0.10], Social well-being: rel_1: 0.09 [0.06, 0.12], rel_2: 3.12e-03, [-0.02, 0.03]","Physical well-being: rel_1: p < 0.001, rel_2: p = 0.0419, psychological well-being: rel_1: p = 0.1318, rel_2: p = 0.0518, social well-being: rel_1: p = 0.0082, rel_2: p = 0.1841","Our analysis showed that covariates such as gender and ses had considerable effects on all three types of well-being. 

Physical well-being: 
 Gender(other): -0.51 [-0.75, -0.27], P < 0.001
 Gender (woman): -0.08 [-0.12, -0.05], P < 0.001
 SES: 0.29 [ 0.27,  0.31], P < 0.001

Psychological well-being: 
 Gender(other): -0.55 [-0.78, -0.33], P < 0.001
 Gender(woman): -0.08 [-0.12, -0.05], P < 0.001
 SES: 0.35 [ 0.33,  0.37], P < 0.001


Social well-being
 Gender(woman): 0.14 [ 0.10,  0.17], P < 0.001
 SES: 0.27 [ 0.25,  0.29], P < 0.001","No, the evidence is ambiguous","Yes",4,"Same way as in RQ1, but with the mentioned interaction between the religiosity variables and cultural norm variable,  to identify if cultural norms moderated the relationship ","Same way as in RQ1","Same as in RQ1","standardised regression coefficient","Physical well-being: Frequency of service attendance*Importance of religious lifestyle =  -7.67e-03, [-0.03,  0.02], Frequency of prayer*Importance of religious lifestyle = 0.03, [ 0.00,  0.05], Psychological well-being: Frequency of service attendance*Importance of religious lifestyle = 0.03, [ 0.00,  0.05], Frequency of prayer*Importance of religious lifestyle = 0.02, [-0.01,  0.05], Social well-being: Frequency of service attendance*Importance of religious lifestyle  0.02, [-0.01,  0.04], Frequency of prayer*Importance of religious lifestyle = 0.03 | [ 0.00,  0.05] ","0.5709","Please be aware, that I was only able to input a number in the p-value column for RQ2. The above p-value refers to the interaction between rel_1 and cnorm_1 in the model for physical well-being. The rest are below: 

Physical well-being: 
 cnorm_1:rel_2 = 0.0515

Psychological well-being: 
 rel_1:cnorm_1 = 0.0343
 cnorm_1:rel_2 = 0.1352

Social well-being: 
 rel_1:cnorm_1 = 0.2502
 cnorm_1:rel_2 = 0.0684","No, the evidence is ambiguous","No",2,6,6,6,0,0,0,0,0,0,0,"","Just to clarify: We have already uploaded all relevant programming code on OSF as well as Markdown file showing all results of our analysis","Yes","",0,0,10195,10195,0.09,0.06,0.12,"beta",0.03,0,0.05,"beta","","","","Cognition; Social Psychology",9,7,5,0,6
8,"2020-11-19 12:46:02","Yes, I consent",3,"psychology of religion; evolutionary and cognitive anthropology;","Doctoral student, Associate professor",3,4,4,4,"psychology of religion; evolutionary and cognitive anthropology;","preregistration","2020-12-23 12:57:31","beta coef. + credible interval","2021-02-26 13:04:51","We conducted a series of Bayesian multilevel regressions modeling the outcome likelihood (WellBeing) as Gaussian distributed. We fit models of varying complexity and employed approximate leave-one-out cross-validation (Vehtari et al., 2017) to compare the models’ out-of-sample predictive performance.","We conducted a series of Bayesian multilevel regressions modeling the outcome likelihood (Well Being) as Gaussian distributed. We fit models of varying complexity and employed approximate leave-one-out cross-validation (Vehtari et al., 2017) to compare the models’ out-of-sample predictive performance. Q2 calls for the assessment of the possible existence of an interaction effect between Religiosity and perceived importance of religiosity (Cultural Norms), so that the association between wellbeing and religiosity is moderated by perceived importance of religiosity in one’s country. However, because we suspected that the two focal predictors – religiosity and cultural norms – possibly were
partially overlapping measures of the same underlying construct, we pre-registered two analytic scenarios. If the two focal predictors were found to be sufficiently distinct, Scenario 1 would model them as separate predictors and their interaction. If the two focal predictors were found to be nearly indistinguishable, Scenario 2 would collapse the items and instead address Q2 more indirectly, by modeling the association between well-being and the deviance from country-mean religiosity, where country-mean religiosity serves as a proxy for the importance of religion for an “average person” (cf., MARP document “Data Documentation”) in each country. For our main analysis, we carried out Scenario 2. In the Appendix, we report results of Scenario 1 (Models 1-6).
","(see Section 1.2 in Stage 2 report)","(see Section 1.3 in Stage 2 report)","Demographic variables: Our demographic variables include age, education, gender, and perceived socioeconomic status, since these are the individual-level variables where, in our view, some theoretical justification exists for inclusion. We country-mean center all demographic variables, except gender, where male is the reference. Intercepts then represent estimates for country-average males.

Attention check: Response options of the attention check item ranged from 1-7, with 1 being
the “right” answer (indicating attention check passed). For ease of interpretation, we transform this into a binary variable, where 0 = passed and 1 = failed. This ensures that intercepts represent participants who passed the attention check.
","We report regression coefficients (posterior means) for the intercepts and our focal predictor (Religious Fit), including 95% credible intervals, from the full main model (Model 7).","The global effect size for Religious Fit is 2.70 [2.08, 3.25], which is interpreted as the increase (on the raw 10-50 scale; see Section 1.3 in Stage 2 report) in well-being relative to the intercept for a maximally religious male with country-average demographic characteristics who passed the attention check. This estimate constitute effect sizes for both Q1 and Q2, since they simultaneously get at the association between Well-Being and Religiosity (Q1) as well as the association with Well-Being and deviance from Religiosity (proxy for Q2).","Not relevant. Our analytic approach neither relied upon nor applied these metrics.","(see Section 1.8 in Stage 2 report)","Yes, there is good evidence for a positive relation","No",6,"(see Section 1.2 in Stage 2 report)","(see Section 1.3 in Stage 2 report)","Demographic variables: Our demographic variables include age, education, gender, and perceived socioeconomic status, since these are the individual-level variables where, in our view, some theoretical justification exists for inclusion. We country-mean center all demographic variables, except gender, where male is the reference. Intercepts then represent estimates for country-average males.

Attention check: Response options of the attention check item ranged from 1-7, with 1 being
the “right” answer (indicating attention check passed). For ease of interpretation, we transform this into a binary variable, where 0 = passed and 1 = failed. This ensures that intercepts represent participants who passed the attention check.
","We report regression coefficients (posterior means) for the intercepts and our focal predictor (Religious Fit), including 95% credible intervals, from the full main model (Model 7).","The global effect size for Religious Fit is 2.70 [2.08, 3.25], which is interpreted as the increase (on the raw 10-50 scale; see Section 1.3 in Stage 2 report) in well-being relative to the intercept for a maximally religious male with country-average demographic characteristics who passed the attention check. This estimate constitute effect sizes for both Q1 and Q2, since they simultaneously get at the association between Well-Being and Religiosity (Q1) as well as the association with Well-Being and deviance from Religiosity (proxy for Q2).","0","(see Section 1.8 in Stage 2 report)","No, the evidence is ambiguous","No",4,5,5,4,1,0,0,0,0,0,0,"We included further data transformations and model specifications","","Yes","",0,1,10484,10484,0.13,0.103,0.156,"beta",0.13,0.103,0.156,"beta","","","","Religion and Culture",100,12,5,1,7
9,"2020-11-19 16:54:44","Yes, I consent",2,"Social cognition","Assistant professor",4,4,6,5,"Social cognition","preregistration","2021-01-14 13:16:39","Standardised regression coefficient + confidence interval","2021-02-24 11:29:21","Multiverse analyses of mixed effect models","Rather than testing for correlations between measures of religiosity and indicators of well- being or aggregates thereof, we conducted two specification curve analyses (i.e., ‘multiverse’ analyses) that examined every pair-wise combination of indicators of religiosity and well- being (while also considering the effect of including varied combinations of some of the available covariates). All models were conducted in a mixed effects linear regression framework (random intercepts for country). For Research Question 1, models with and without random slopes for the religiosity indicators by country were conducted. For Research Question 2 all effects were treated as fixed.","We did not; our analytical technique permitted us to look at all relationships across all items.","We did not; our analytical technique permitted us to look at all relationships across all items.","Gender, age, education","standardised regression coefficient",".08 [.075, .081] (i.e., there was a small and positive relationship between religiosity and well-being)","p < .001","","Yes, there is good evidence for a positive relation","Yes",6,"We did not; our analytical technique permitted us to look at all relationships across all items.","We did not; our analytical technique permitted us to look at all relationships across all items.","Age, gender, education, main effects of religiosity and perceived cultural norms (country-level) ","standardised regression coefficient ",".03 [.026, .028]","0.001","","Yes, there is good evidence for the effect of perceived cultural norms","Yes",5,7,7,6,0,0,0,0,0,0,0,"","","Yes","",0,0,10535,10535,0.078,0.076,0.082,"beta",0.027,0.026,0.028,"beta","","","","Social Psychology",9,7,2,0,6
10,"2020-11-21 11:54:06","Yes, I consent",1,"Differential/individual differences/personality psychology psychology","Associate professor",2,3,5,4,"Differential/individual differences/personality psychology psychology","preregistration","2020-12-26 10:24:27","standardized regression coefficient (beta) + credible interval","2021-03-04 18:18:36","Bayesian linear regression using 'brms' package with default priors","Used Bayesian linear regression with default priors of 'brms' package. ","‘Religiosity’ was operationalized by summing rel_1 to rel_9, then averaged, and standardized. ‘Cultural norms of religiosity’ was operationalized by summing and averaging cnorm_1 and cnorm_2, and then standardized. ‘Religiosity’ and ‘Cultural norms of religiosity’ were multiplied to create an interaction variable.","Four dependent variables were predicted:
wb_overall_mean = overall wellbeing
wb_phys_mean = physical wellbeing
wb_psych_mean = psychological wellbeing
wb_soc_mean = social wellbeing","Gender
Education
Gdp_scaled","standardised regression coefficient(beta)","0.04  [95% credible interval: 0.03 - 0.05] predicting overall wellbeing","[95% credible interval: 0.03 - 0.05] - no p-value or BF computed","0.00 [ -0.01,  0.01]  for religiosity predicting physical wellbeing
0.07 [0.06,  0.09] for religiosity predicting psychological wellbeing
0.08 [0.05,  0.11] for religiosity predicting social wellbeing","Yes, there is good evidence for a positive relation","Yes",5,"Religiosity’ was operationalized by summing rel_1 to rel_9, then averaged, and standardized. ‘Cultural norms of religiosity’ was operationalized by summing and averaging cnorm_1 and cnorm_2, and then standardized. ‘Religiosity’ and ‘Cultural norms of religiosity’ were multiplied to create an interaction variable.","Four dependent variables were predicted:
wb_overall_mean
wb_phys_mean
wb_psych_mean
wb_soc_mean","Gender
Education
Gdp_scaled","standardised regression coefficient (beta)"," 0.01 [95% credible interval: 0.00,  0.03]","[95% credible interval 0.00,  0.03] - no p-value or BF "," -0.00 [-0.02, 0.01] interaction predicting physical wellbeing
  0.02 [0.01,  0.04] interaction predicting psychological wellbeing
  0.03 [0.00, 0.05] interaction predicting social wellbeing","No, the evidence is ambiguous","No",4,6,6,4,1,0,0,0,1,0,0,"Had difficulty running the models with missing data imputed, so instead deleted cases with missing data before computing the models. Given the large sample size and small proportion of missing data this seemed reasonable.","In hindsight, I would have conducted the analyses differently. I would not have adjusted for the covariates (gender, education, gdp_scaled), as I'm now of the opinion this should only be done for causal analysis for which a causal identification strategy is required (ie. DAG), which I did not implement. I also don't think it was wise to use the default priors of brms, as I mistakenly thought they were the same as those of the 'rstanarm' package. 
","Yes","",0,0,10158,10158,0.065,0.047,0.084,"beta",0.02,0.001,0.039,"beta","","","","Psychology (Other)",12,9,8,1,6
11,"2020-11-19 18:07:41","Yes, I consent",1,"Cognitive science","Post-doc",1,3,5,6,"Cognitive science","blinding","2020-12-10 12:32:44","Standardised regression coefficient + (95%) credible interval +  explained variance index (obtained from the posterior predictive distribution).","2021-01-21 13:59:42","Multilevel (Gaussian) Bayesian regression","See the PDF document on OSF.","Centered and standardised average of all items related to religiosity","Centered and standardised average of all items related to well-being","No covariates","Both standardised regression coefficient and proportion of explained variance","beta = 0.12, 95% CrI [0.099, 0.141]","BF10 = 1.169229 × 10^24","Removed participants failing attention checks and centering and standardising all variables.","Yes, there is good evidence for a positive relation","Yes",7,"Centered and standardised average of all items related to 1) religiosity and 2) pro-religion cultural norms","Centered and standardised average of all items related to well-being","None","Standardised regression coefficient","Beta = 0.041, 95% CrI [0.022, 0.06]","293.113","Removed participants failing attention checks","Yes, there is good evidence for the effect of perceived cultural norms","Yes",6,5,6,6,0,0,0,0,0,0,0,"","","Yes","",0,0,10195,10195,0.12,0.099,0.141,"beta",0.041,0.022,0.06,"beta","","","","Cognition",20,7,5,0,6
12,"2020-11-23 14:36:15","Yes, I consent",2,"social psychology","Post-doc, Associate professor",2,3,4,6,"social psychology","blinding","2021-01-14 13:35:05","standardized regression coefficient + confidence interval + eta squared","2021-02-01 13:38:22","generalized linear regression","I used the model comparison approach. I did two model in a generalized linear regression and I compared these models.
RQ1. I compared these two models 
Model 0. Yi = b0 + εi
Model 1. Yi = b0 + b1+ εi
                Yi = b0 + b1Religiosity + εi 

RQ2. I compared these two models
Model 1. Yi = b0 + b1+ εi
                 Yi = b0 + b1Religiosity + εi
Model 2. Yi = b0 + b1+ b2 + εi
                 Yi = b0 + b1Religiosity + b2Interaction Religiosity x Cultural Norms + εi
","To test the first research question, I aggregated the 9 items assessing the degree of religiosity to create a composite score (from 0 to 9).","For the two research questions I used the well being overall mean.",NA,"R2","R2 = .016,  [0.02; 0.03]","p<.001","Assumptions of linear regression","Yes, there is good evidence for a positive relation","Yes",4,"For the second research question, I aggregated the 2 items assessing the cultural norm and I created a composite score (from 0 to 2).","For the two research questions I used the well being overall mean.",NA,"R2","R2 = .018, [0.004; 0.01]","0.001","","Yes, there is good evidence for the effect of perceived cultural norms","Yes",4,7,7,7,0,0,0,0,0,0,0,"","Thank you for this project ! Can't wait to read the paper !","Yes","",0,0,10535,10535,0.128,0.109,0.147,"beta",0.021,0.003,0.039,"beta","","","","Social Psychology",13,8,8,0,8
